delay_gap,is_delayed,Type_TRANSFER,Order City,order_day,delay_ratio,Order State,Customer City,Order Country,Order Region
1.9539566,0.77499205,6.5475564,0.8447802,0.27851596,1.1860934,0.73067737,0.5650227,-0.15869518,-0.0080611445
1.9539566,0.77499205,6.5475564,0.8447802,0.27851596,1.1860934,0.73067737,0.5650227,-0.15869518,-0.0080611445
1.9539566,0.77499205,6.5475564,0.8447802,0.27851596,1.1860934,0.73067737,0.5650227,-0.15869518,-0.0080611445
1.878859,0.8158807,5.984001,-0.21583237,-0.41640934,0.21247415,-0.09552365,-0.41903642,0.26796284,-0.16763532
-10.384315,-4.247558,2.6654096,0.50491893,0.47113958,-0.62272364,-0.123886496,0.3054193,0.2586325,0.019347224
1.8003348,0.7744058,6.7219944,-0.059354655,-0.48343995,1.3060882,0.045091063,0.30326295,-0.29065028,-0.15462254
-10.196187,-4.1813774,2.7880197,-0.43027532,-0.10365118,-1.4210207,0.4024807,0.40748918,-0.21902966,-0.123570494
1.8309389,0.7770148,6.565824,0.85452783,0.3174932,0.97498685,-0.34826344,0.08996099,0.66706115,-0.13907026
-8.0718775,-3.2566621,-0.5103022,0.33117148,0.42646345,-1.4731148,0.19749568,0.25460124,0.3552827,-0.13344488
-8.0718775,-3.2566621,-0.5103022,0.33117148,0.42646345,-1.4731148,0.19749568,0.25460124,0.3552827,-0.13344488
1.8338087,0.54937255,-1.3218788,0.81441647,0.66812795,0.68463683,-0.111372165,0.53458464,0.8062462,0.018129235
1.8338087,0.54937255,-1.3218788,0.81441647,0.66812795,0.68463683,-0.111372165,0.53458464,0.8062462,0.018129235
1.8338087,0.54937255,-1.3218788,0.81441647,0.66812795,0.68463683,-0.111372165,0.53458464,0.8062462,0.018129235
1.8338087,0.54937255,-1.3218788,0.81441647,0.66812795,0.68463683,-0.111372165,0.53458464,0.8062462,0.018129235
1.8338087,0.54937255,-1.3218788,0.81441647,0.66812795,0.68463683,-0.111372165,0.53458464,0.8062462,0.018129235
1.7104231,0.77565473,6.699009,0.09641102,-0.3470155,1.1322685,0.6029846,-0.016950628,-0.010908122,0.08814283
